1973-END	22
1973-ENG	503
1973-ENS	4
1973-ERE	81
1973-FOR	5
1973-FPR	11
1973-FR	81
1973-FS	5
1973-GEO	96
1973-GER	51
1973-GLY	30
1973-GR	8
1973-HDS	17
1973-HEB	6
1973-HEC	1
1973-HED	4
1973-HER	10
1973-HIN	1
1973-HIS	217
1973-HRP	27
1973-HSE	4
1973-IE	6
1973-IED	44
1973-INC	5
1973-ITA	17
1973-JDS	6
1973-LAS	1
1973-LAT	7
1973-LAW	50
1973-LIN	25
1973-LIS	70
1973-MAS	10
1973-MCH	1
1973-ME	8
1973-MED	6
1973-MFC	24
1973-MGA	91
1973-MGB	35
1973-MGE	22
1973-MGF	13
1973-MGI	37
1973-MGM	23
1973-MGO	4
1973-MGQ	30
1973-MGS	18
1973-MGT	10
1973-MIC	35
1973-MT	19
1973-MTH	260
1973-MUS	142
1973-NC	11
1973-NSM	1
1973-NUR	130
1973-OPD	12
1973-ORB	5
1973-ORT	6
1973-OSU	22
1973-OT	35
1973-PDO	16
1973-PE	132
1973-PED	1
1973-PEH	12
1973-PER	26
1973-PGY	70
1973-PHA	85
1973-PHC	4
1973-PHI	184
1973-PHM	11
1973-PLS	2
1973-PMY	14
1973-POL	6
1973-POR	2
1973-PRS	16
1973-PSC	121
1973-PSY	376
1973-PT	10
1973-PTH	2
1973-PTY	2
1973-RCC	8
1973-RGY	1
1973-RPR	23
1973-RSP	7
1973-RUS	10
1973-SER	1
1973-SOC	266
1973-SOS	6
1973-SP	107
1973-SPA	57
1973-SPF	38
1973-SPM	9
1973-SSC	2
1973-STA	33
1973-SW	65
1973-SWA	2
1973-SYS	7
1973-TED	61
1973-TH	35
1973-THI	1
1973-UCE	56
1973-UKR	1
1973-URS	4
1973-USB	19
1973-WSC	34
1974-AFS	2
1974-AHI	33
1974-AMS	54
1974-ANA	45
1974-APY	113
1974-ARA	3
1974-ARC	15
1974-ART	58
1974-BCH	23
1974-BCM	18
1974-BCP	9
1974-BEH	18
1974-BIO	169
1974-BIR	6
1974-BPH	11
1974-BPR	1
1974-BSP	50
1974-CB	5
1974-CC	2
1974-CDC	1
1974-CE	14
