Obrian 212	08:00__10
Obrian 212	11:45__23
Obrian 212	15:30__12
Obrian 212	19:15__9
Obrian 214	08:00__5
Obrian 214	11:45__5
Obrian 214	15:30__7
Obrian 214	19:15__11
Park 141	11:45__1
Park 143	15:30__1
Park 146	08:00__12
Park 146	11:45__14
Park 146	15:30__8
Park 146	19:15__4
Park 148	08:00__4
Park 148	11:45__10
Park 148	15:30__8
Park 148	19:15__4
Park 152	08:00__3
Park 152	11:45__8
Park 152	15:30__4
Park 152	19:15__3
Park 168	08:00__1
Park 168	11:45__2
Park 174	11:45__2
Park 179	11:45__2
Park 223	08:00__2
Park 223	11:45__3
Park 241	08:00__2
Park 241	11:45__1
Park 250	08:00__7
Park 250	11:45__18
Park 250	15:30__3
Park 250	19:15__7
Park 280	08:00__1
Park 280	15:30__1
Park 366	08:00__4
Park 366	11:45__2
Park 366	15:30__1
Park 440	08:00__7
Park 440	11:45__17
Park 440	15:30__16
Park 440	19:15__8
Park 450	08:00__4
Park 450	11:45__3
Park 450	15:00__1
Park 450	15:30__2
Park 450	19:15__5
Park 502	11:45__1
Park 532	08:00__2
Park 532	11:45__1
Park Arr	11:45__1
Parker 104	08:00__12
Parker 104	09:00__4
Parker 104	11:45__9
Parker 104	15:30__2
Parker 117	08:00__4
Parker 117	09:00__1
Parker 117	11:45__2
Parker 13	08:00__4
R25 Needs Assignment	08:00__43
R25 Needs Assignment	11:45__42
R25 Needs Assignment	13:00__1
R25 Needs Assignment	15:30__20
R25 Needs Assignment	19:15__23
Roosevelt 101	08:00__1
SIM HQ Arr	08:00__15
SIM HQ Arr	11:45__15
SIM HQ Arr	15:30__17
SIM HQ Arr	23:45__1
Slee Arr	19:15__1
Slee B1	15:30__1
Slee B1	19:15__2
Spldng 158	11:45__1
Spldng 158	15:30__3
Talbrt 103	08:00__18
Talbrt 103	11:45__16
Talbrt 103	15:30__16
Talbrt 103	19:15__2
Talbrt 106	08:00__12
Talbrt 106	11:45__11
Talbrt 106	15:30__8
Talbrt 106	19:15__3
Talbrt 107	08:00__38
Talbrt 107	11:45__49
Talbrt 107	15:30__39
Talbrt 107	19:15__52
Talbrt 111	08:00__11
Talbrt 111	11:45__5
Talbrt 111	15:30__3
Talbrt 112	08:00__5
Talbrt 112	11:45__16
Talbrt 112	15:30__7
Talbrt 112	19:15__4
Talbrt 113	08:00__6
Talbrt 113	11:45__15
Talbrt 113	15:30__5
Talbrt 113	19:15__2
Talbrt 115	08:00__20
Talbrt 115	11:45__22
Talbrt 115	15:30__22
Talbrt 115	19:15__19
Wende 111	08:00__8
Wende 111	08:30__1
Wende 111	11:15__1
Wende 111	11:45__3
Wende 111	15:30__1
Wende 111	19:15__1
Wende 112	08:00__1
Wende 114	08:00__14
Wende 114	09:00__5
Wende 114	11:45__13
Wende 114	12:00__2
Wende 114	13:00__5
Wende 114	13:30__1
Wende 114	15:30__5
Wende 24	08:00__2
Wende Arr	11:45__1
Wende B-08	08:00__1
Wende B-08	15:30__1
Wende B08	08:00__1
Wende B08	15:30__1
Wilksn 106	08:00__4
Wilksn 135	08:00__2
Wilksn 144	15:30__2
Wilksn 144	19:15__1
Wilksn 145C	15:30__1
Wilksn 145C	19:15__1
Wilksn 145H	08:00__1
Wilksn 145H	11:45__1
Wilksn 145H	15:30__1
Wilksn 145H	19:15__2
