Clemen 1010B	71_27_27
Clemen 1010C	32_17_17
Clemen 1010D	63_28_28
Clemen 1010E	9_16_8
Clemen 1011	107_60_60
Clemen 1013	26_37_37
Clemen 1015	11_58_58
Clemen 102	14467_20723_901
Clemen 1021	123_112_56
Clemen 1023	123_101_101
Clemen 1025	49_39_39
Clemen 1026	28_3_3
Clemen 1028	38_60_15
Clemen 1029	0_1_1
Clemen 103	28158_49456_1124
Clemen 1030	7292_8112_338
Clemen 1031	13_7_7
Clemen 1032	424_1914_66
Clemen 1033	10_3_3
Clemen 1035	1_2_2
Clemen 104	13875_18285_795
Clemen 106	14080_17336_788
Clemen 107	13323_16390_745
Clemen 108	11777_14835_645
Clemen 117	11454_14421_627
Clemen 119	28568_49905_1109
Clemen 120	5784_10200_102
Clemen 123	12335_17402_791
Clemen 128	3813_4272_178
Clemen 128A	40_120_10
Clemen 17	30425_53685_1193
Clemen 19	30591_57330_1274
Clemen 201	3098_274_274
Clemen 202	11288_14490_630
Clemen 203	7537_352_352
Clemen 204	13849_14847_707
Clemen 206	11204_14421_627
Clemen 215	12270_17292_786
Clemen 217	12078_16720_760
Clemen 218	4283_7074_393
Clemen 219	11383_15708_714
Clemen 220	10978_13838_629
Clemen 221	10862_15224_692
Clemen 222	65_24_6
Clemen 224	878_2364_197
Clemen 301	42_20_20
Clemen 302	101_32_16
Clemen 303	737_76_38
Clemen 305	1_2_1
Clemen 306	2597_8202_1367
Clemen 307	74_16_8
Clemen 309	3426_17592_733
Clemen 311	89_33_33
Clemen 313	8_4_4
Clemen 315	1_62_62
Clemen 317	16_2_2
Clemen 318	844_3192_266
Clemen 319	114_85_85
Clemen 320	128_306_102
Clemen 321	23_15_15
Clemen 322	37914_70119_1113
Clemen 323	14_83_83
Clemen 325	8_18_18
Clemen 401	171_88_88
Clemen 403	85_104_104
Clemen 405	26_48_48
Clemen 407	37_51_51
Clemen 409	88_87_87
Clemen 411	121_93_93
Clemen 412	2418_6531_311
Clemen 413	12_93_93
Clemen 415	53_112_112
Clemen 427	41_108_108
Clemen 429	42_73_73
Clemen 431	30_77_77
Clemen 433	23_62_62
Clemen 435	52_108_108
Clemen 436	7166_25560_852
Clemen 437	27_55_55
Clemen 438	1424_916_229
Clemen 439	84_85_85
Clemen 441	2_42_42
Clemen 501	76_75_75
Clemen 503	76_83_83
Clemen 505	128_99_99
Clemen 506	163_51_51
Clemen 507	60_83_83
Clemen 509	64_96_96
Clemen 511	106_155_155
Clemen 513	39_80_80
Clemen 515	8_31_31
Clemen 531	47_83_83
Clemen 533	61_98_98
Clemen 535	4_81_81
Clemen 537	130_93_93
Clemen 538	2498_11175_447
Clemen 539	74_88_88
Clemen 540	898_2284_571
Clemen 541	112_92_92
Clemen 543	8_38_38
Clemen 545	73_88_88
Clemen 601	10_4_2
Clemen 606	2754_23264_1454
Clemen 607	0_19_19
Clemen 608	1811_510_510
Clemen 610	1165_1224_306
Clemen 612	22_30_30
Clemen 615	47_69_69
Clemen 618	3_4_2
Clemen 631	32_26_26
Clemen 632	1_14_7
Clemen 633	81_93_93
Clemen 634	1_14_7
Clemen 635	58_48_48
Clemen 637	107_70_70
Clemen 638	37_68_68
Clemen 639	128_69_69
Clemen 640	5788_30100_1075
Clemen 641	101_76_76
Clemen 643	55_64_64
Clemen 645	66_68_68
Clemen 703	2_2_2
Clemen 705	1_2_2
Clemen 706	19_12_6
Clemen 707	4_2_2
Clemen 708	550_3429_127
Clemen 709	43_51_51
Clemen 711	31_48_48
Clemen 712	506_3030_1010
Clemen 712A	29_17_17
Clemen 712B	19_15_15
Clemen 713	25_49_49
Clemen 714	909_208_208
Clemen 715	10_21_21
Clemen 725	2_2_2
Clemen 728	10_12_12
Clemen 729	9_3_3
Clemen 732	68_429_429
Clemen 733	3_3_3
Clemen 734A	422_7490_535
Clemen 735	2_3_3
Clemen 736A	118_85_85
Clemen 736B	41_26_26
Clemen 737	5_4_4
Clemen 738	7_5_5
Clemen 739	22_44_44
Clemen 740	18_24_6
Clemen 744	48_13_13
Clemen 809	9_5_5
Clemen 810	2_4_4
Clemen 830	6_24_3
Clemen 838	3_4_2
Clemen 901	16_21_21
Clemen 902	161_950_95
Clemen 903	7_29_29
Clemen 904	358_21900_730
Clemen 905	19_27_27
Clemen 907	26_34_34
Clemen 909	2_13_13
Clemen 910	82_162_81
Clemen 911	1_1_1
Clemen 915	2_5_5
Clemen 923	2_10_10
Clemen 924A	11_9_3
Clemen 925	62_6_6
Clemen 927	2_24_24
Clemen 930	2928_13804_493
Clemen 933	6_6_6
Clemen 935	11_18_18
Clemen 936	160_54_27
Clemen 938	101_60_30
Comput 315	17_60_2
Cooke 109	218_54_54
Cooke 110	2_5_5
Cooke 112	21_8_8
Cooke 114	771_2135_61
Cooke 121	92184_226600_1030
Cooke 126	151_72_72
Cooke 127A	29354_47880_1197
Cooke 127B	36654_46464_1056
Cooke 130	2_1_1
Cooke 15	1180_2457_91
Cooke 210	10776_11300_565
Cooke 212	6_4_4
Cooke 214	10_2_2
Cooke 216	44_57_57
Cooke 218	6796_8352_348
Cooke 219	98_5_5
Cooke 220	14_8_4
Cooke 221	93_46_46
Cooke 222	8722_7285_155
Cooke 223	33_13_13
Cooke 225	111_14_14
Cooke 227	78_28_28
Cooke 229	90_32_32
Cooke 231	28_5_5
Cooke 237	10_12_2
Cooke 239	1523_3213_119
Cooke 244	9_120_8
Cooke 247	21_64_32
Cooke 248	5428_9768_264
Cooke 308	42_288_36
Cooke 309	93_14_14
Cooke 310	3_10_10
Cooke 311	89_27_27
Cooke 312	7_28_14
Cooke 313	6_15_15
Cooke 316	2_16_8
Cooke 317	7_32_16
Cooke 321	7_1_1
Cooke 327	13_86_43
Cooke 329	126_109_109
Cooke 331	89_1_1
Cooke 334	102_352_88
Cooke 336	147_124_124
Cooke 337	0_24_6
Cooke 341	91_288_96
Cooke 343	5_141_47
Cooke 353	55_678_113
Cooke 354	86_408_102
Cooke 355	93_124_124
Cooke 357	12_9_9
Cooke 370	234_164_164
Cooke 371	441_212_53
Cooke 372	106_304_76
Cooke 414	23_270_27
Cooke 415	1_1_1
Cooke 416	7_50_5
Cooke 419	12_28_7
Cooke 427	1_6_1
Cooke 429	16_74_37
Cooke 429A	4_4_4
Cooke 430	9_24_4
Cooke 431	2_1_1
Cooke 433	33_708_59
Cooke 434	3717_12000_240
Cooke 435	372_880_88
Cooke 447B	0_4_2
Cooke 453	7_52_13
Cooke 455	1_42_14
